代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,14543810.000000001862645
真實報酬,4543810.000000001862645

夏普值報酬,0.445681000000000
夏普值風險,0.128752778727026
夏普值,3.461525292164042

預期報酬,38278.287234512259602
風險,559550.672553375363350
趨勢值,0.068408973685687
找到最佳解世代,2590
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
AAPL[0](1),IBM[10](2),
Stock#,AAPL[0](1),IBM[10](2),
張數,409836,59410,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,0.800000000745058,54.400000000372529,
20090102,5311475.360000001266599,5190706.100000000558794,10502181.460000000894070
20090105,5536885.160000001080334,5158030.599999999627471,10694915.760000001639128
20090106,5446721.240000000223517,5301208.700000000186265,10747929.940000001341105
20090107,5327868.800000000745058,5215658.300000000745058,10543527.100000001490116
20090108,5426229.440000000409782,5179418.200000001117587,10605647.640000000596046
20090109,5303278.640000000596046,5032081.400000000372529,10335360.040000000968575
20090112,5192622.920000000856817,5092085.500000000000000,10284708.420000001788139
20090113,5135245.880000000819564,5070103.800000000745058,10205349.680000001564622
20090114,4995901.640000000596046,4942372.299999999813735,9938273.940000001341105
20090115,4881147.560000000521541,4997623.600000000558794,9878771.160000000149012
20090116,4819672.160000001080334,5045151.600000000558794,9864823.760000001639128
20090120,4577868.920000000856817,4870486.200000000186265,9448355.120000001043081
20090121,4848360.680000000633299,5431316.600000000558794,10279677.280000001192093
20090122,5172131.120000000111759,5351113.099999999627471,10523244.219999998807907
20090123,5172131.120000000111759,5316655.299999999813735,10488786.419999999925494
20090126,5249999.960000000894070,5442010.400000000372529,10692010.360000001266599
20090127,5311475.360000001266599,5445575.000000000000000,10757050.360000001266599
20090128,5516393.360000001266599,5633310.599999999627471,11149703.960000000894070
20090129,5446721.240000000223517,5496073.500000000931323,10942794.740000002086163
20090130,5278688.480000001378357,5444980.900000000372529,10723669.380000002682209
20090202,5356557.320000001229346,5402205.700000001117587,10758763.020000003278255
20090203,5442622.880000000819564,5553701.200000000186265,10996324.080000001937151
20090204,5475409.760000000707805,5515084.700000000186265,10990494.460000000894070
20090205,5647540.880000000819564,5490132.500000000000000,11137673.380000000819564
20090206,5840163.800000000745058,5711731.800000000745058,11551895.600000001490116
20090209,5999999.840000000782311,5752130.599999999627471,11752130.440000001341105
20090210,5729508.080000001005828,5541225.100000000558794,11270733.180000001564622
20090211,5668032.680000000633299,5653510.000000000000000,11321542.679999999701977
20090212,5811475.280000000260770,5648163.099999999627471,11459638.379999998956919
20090213,5807376.920000000856817,5575088.800000000745058,11382465.720000002533197
20090217,5532786.800000000745058,5386759.100000000558794,10919545.900000002235174
20090218,5524590.080000001005828,5436663.500000000931323,10961253.580000001937151
20090219,5307377.000000000000000,5283385.700000001117587,10590762.700000001117587
