代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,14944090.199999999254942
真實報酬,4944090.199999999254942

夏普值報酬,0.485709020000000
夏普值風險,0.110948531425420
夏普值,4.377786832865794

預期報酬,18764.491486565333616
風險,273310.957853423373308
趨勢值,0.068656198909627
找到最佳解世代,2413
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,1
PG[21](1),
Stock#,PG[21](1),
張數,120148,
分配資金,10000000.000000000000000,
剩餘資金,81.959999999031425,
20181001,10052865.119999999180436,10052865.119999999180436
20181002,10135767.239999998360872,10135767.239999998360872
20181003,9975970.399999998509884,9975970.399999998509884
20181004,9842606.119999999180436,9842606.119999999180436
20181005,9870240.160000000149012,9870240.160000000149012
20181008,9900277.160000000149012,9900277.160000000149012
20181009,9876247.559999998658895,9876247.559999998658895
20181010,9784935.079999998211861,9784935.079999998211861
20181011,9476154.719999998807907,9476154.719999998807907
20181012,9498982.839999999850988,9498982.839999999850988
20181015,9627541.199999999254942,9627541.199999999254942
20181016,9733271.439999999478459,9733271.439999999478459
20181017,9835397.239999998360872,9835397.239999998360872
20181018,9640757.479999998584390,9640757.479999998584390
20181019,10489002.359999999403954,10489002.359999999403954
20181022,10404898.759999997913837,10404898.759999997913837
20181023,10472181.639999998733401,10472181.639999998733401
20181024,10748522.039999999105930,10748522.039999999105930
20181025,10693253.959999999031425,10693253.959999999031425
20181026,10556285.239999998360872,10556285.239999998360872
20181029,10601941.479999998584390,10601941.479999998584390
20181030,10716082.079999998211861,10716082.079999998211861
20181031,10654806.599999999627471,10654806.599999999627471
20181101,10764141.279999999329448,10764141.279999999329448
20181102,10790573.839999999850988,10790573.839999999850988
20181105,10957579.559999998658895,10957579.559999998658895
20181106,10994825.439999999478459,10994825.439999999478459
20181107,10968392.879999998956919,10968392.879999998956919
20181108,10976803.239999998360872,10976803.239999998360872
20181109,11102958.639999998733401,11102958.639999998733401
20181112,11137801.559999998658895,11137801.559999998658895
20181113,11230315.519999999552965,11230315.519999999552965
20181114,11232718.479999998584390,11232718.479999998584390
20181115,11273568.799999998882413,11273568.799999998882413
20181116,11272367.319999998435378,11272367.319999998435378
20181119,11208688.879999998956919,11208688.879999998956919
20181120,11065712.759999997913837,11065712.759999997913837
20181121,10982810.639999998733401,10982810.639999998733401
20181123,10998429.879999998956919,10998429.879999998956919
20181126,11046489.079999998211861,11046489.079999998211861
20181127,11140204.519999999552965,11140204.519999999552965
20181128,11175047.439999999478459,11175047.439999999478459
20181129,11152219.319999998435378,11152219.319999998435378
20181130,11355269.439999999478459,11355269.439999999478459
20181203,11212293.319999998435378,11212293.319999998435378
20181204,11211091.839999999850988,11211091.839999999850988
20181206,11239927.359999999403954,11239927.359999999403954
20181207,11107764.559999998658895,11107764.559999998658895
20181210,11177450.399999998509884,11177450.399999998509884
20181211,11283180.639999998733401,11283180.639999998733401
20181212,11297598.399999998509884,11297598.399999998509884
20181213,11593162.479999998584390,11593162.479999998584390
20181214,11611184.679999999701977,11611184.679999999701977
20181217,11146211.919999998062849,11146211.919999998062849
20181218,11112570.479999998584390,11112570.479999998584390
20181219,11024862.439999999478459,11024862.439999999478459
20181220,10931147.000000000000000,10931147.000000000000000
20181221,10929945.519999999552965,10929945.519999999552965
