代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,13014654.699999999254942
真實報酬,3014654.699999999254942

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,13011.875553073319679
風險,356372.815739446552470
起點值,0.036511975600818
找到最佳解世代,2219
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
AAPL[0](1),MCD[15](3),
Stock#,AAPL[0](1),MCD[15](3),
張數,148323,73986,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,31.669999999925494,26.120000000111759,
FS( 1 ),5000000.000000000000000,5000000.000000000000000,10000000.000000000000000
FS( 2 ),5053396.280000000260770,5033293.700000000186265,10086689.980000000447035
FS( 3 ),5075644.729999999515712,5017016.780000000260770,10092661.509999999776483
FS( 4 ),5097893.179999999701977,5008878.320000000298023,10106771.500000000000000
FS( 5 ),5084544.110000000335276,5087303.480000000447035,10171847.589999999850988
FS( 6 ),5123108.089999999850988,5081384.600000000558794,10204492.690000001341105
FS( 7 ),5133490.700000000186265,5070286.700000000186265,10203777.400000000372529
FS( 8 ),5136457.160000000149012,5099141.240000000223517,10235598.400000000372529
FS( 9 ),5206168.969999999739230,5136134.240000000223517,10342303.210000000894070
FS( 10 ),5274397.549999999813735,5116897.879999999888241,10391295.429999999701977
FS( 11 ),5241766.490000000223517,5107279.700000000186265,10349046.190000001341105
FS( 12 ),5235833.569999999366701,5173127.240000000223517,10408960.809999998658895
FS( 13 ),5182437.290000000037253,5204201.360000000335276,10386638.650000000372529
FS( 14 ),5492432.360000000335276,5205681.080000000074506,10698113.440000001341105
FS( 15 ),5646688.280000000260770,5255251.700000000186265,10901939.980000000447035
FS( 16 ),5738648.540000000037253,5264130.020000000484288,11002778.560000000521541
FS( 17 ),5710467.169999999925494,5254511.839999999850988,10964979.009999999776483
FS( 18 ),5551761.559999999590218,5218258.700000000186265,10770020.259999999776483
FS( 19 ),5542862.179999999701977,5204201.360000000335276,10747063.539999999105930
FS( 20 ),5692668.410000000149012,5291504.839999999850988,10984173.250000000000000
FS( 21 ),5532479.569999999366701,5222697.860000000335276,10755177.429999999701977
FS( 22 ),5643721.819999999366701,5284106.240000000223517,10927828.059999998658895
FS( 23 ),5480566.520000000484288,5226397.160000000149012,10706963.679999999701977
FS( 24 ),5424203.780000000260770,5227876.879999999888241,10652080.660000000149012
FS( 25 ),5218034.809999999590218,5136134.240000000223517,10354169.050000000745058
FS( 26 ),4997033.540000000037253,5031813.980000000447035,10028847.519999999552965
FS( 27 ),5381190.110000000335276,5221958.000000000000000,10603148.109999999403954
FS( 28 ),5436069.620000000111759,5214559.400000000372529,10650629.019999999552965
FS( 29 ),5553244.790000000037253,5228616.740000000223517,10781861.530000001192093
FS( 30 ),5474633.599999999627471,5216039.120000000111759,10690672.719999998807907
FS( 31 ),5378223.649999999441206,5148711.860000000335276,10526935.509999999776483
FS( 32 ),5387123.030000000260770,5189404.160000000149012,10576527.190000001341105
FS( 33 ),5347075.819999999366701,5180525.839999999850988,10527601.660000000149012
FS( 34 ),5262531.709999999031425,5134654.520000000484288,10397186.230000000447035
FS( 35 ),5038563.979999999515712,5005918.879999999888241,10044482.859999999403954
FS( 36 ),5134973.929999999701977,5020716.080000000074506,10155690.009999999776483
FS( 37 ),5228417.419999999925494,5005918.879999999888241,10234336.300000000745058
FS( 38 ),5195786.360000000335276,5019236.360000000335276,10215022.720000000670552
FS( 39 ),5172054.679999999701977,4883841.980000000447035,10055896.660000000149012
FS( 40 ),5367841.040000000037253,4971885.320000000298023,10339726.359999999403954
FS( 41 ),5443485.770000000484288,4947469.940000000409782,10390955.710000000894070
FS( 42 ),5526546.649999999441206,4909737.080000000074506,10436283.730000000447035
FS( 43 ),5593292.000000000000000,5014057.339999999850988,10607349.339999999850988
FS( 44 ),5575493.240000000223517,5019976.219999999739230,10595469.460000000894070
FS( 45 ),5424203.780000000260770,4934892.320000000298023,10359096.100000001490116
FS( 46 ),5317411.219999999739230,4938591.620000000111759,10256002.839999999850988
FS( 47 ),5283296.929999999701977,5059188.799999999813735,10342485.730000000447035
FS( 48 ),5152772.690000000409782,5050310.480000000447035,10203083.170000001788139
FS( 49 ),5308511.839999999850988,5132434.940000000409782,10440946.780000001192093
FS( 50 ),5372290.729999999515712,5145012.560000000521541,10517303.289999999105930
FS( 51 ),5388606.259999999776483,5127255.919999999925494,10515862.179999999701977
FS( 52 ),5502814.969999999739230,5208640.520000000484288,10711455.490000000223517
FS( 53 ),5663003.809999999590218,5200502.060000000521541,10863505.870000001043081
FS( 54 ),5760896.990000000223517,5182745.419999999925494,10943642.410000000149012
FS( 55 ),5806877.120000000111759,5170167.799999999813735,10977044.919999999925494
FS( 56 ),5725299.469999999739230,5173127.240000000223517,10898426.710000000894070
FS( 57 ),5802427.429999999701977,5078425.160000000149012,10880852.589999999850988
FS( 58 ),5741615.000000000000000,5077685.299999999813735,10819300.300000000745058
FS( 59 ),5700084.559999999590218,5011097.900000000372529,10711182.460000000894070
FS( 60 ),5651137.969999999739230,4988162.240000000223517,10639300.210000000894070
FS( 61 ),5685252.259999999776483,4981503.500000000000000,10666755.759999999776483
FS( 62 ),5428653.469999999739230,4917135.679999999701977,10345789.149999998509884
FS( 63 ),5329277.059999999590218,4873483.940000000409782,10202761.000000000000000
FS( 64 ),5265498.169999999925494,4935632.179999999701977,10201130.349999999627471
FS( 65 ),5232867.110000000335276,4893460.160000000149012,10126327.269999999552965
FS( 66 ),5268464.630000000819564,4891240.580000000074506,10159705.210000000894070
