代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11951457.750000000000000
真實報酬,1951457.750000000000000

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,19015.088406840270181
風險,388846.539246559666935
起點值,0.048901266920581
找到最佳解世代,2527
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,1
IBM[10](1),
Stock#,IBM[10](1),
張數,114455,
分配資金,10000000.000000000000000,
剩餘資金,66.650000000372529,
FS( 1 ),10000000.000000000000000,10000000.000000000000000
FS( 2 ),9937049.750000000000000,9937049.750000000000000
FS( 3 ),10212886.300000000745058,10212886.300000000745058
FS( 4 ),10048071.100000001490116,10048071.100000001490116
FS( 5 ),9978253.550000000745058,9978253.550000000745058
FS( 6 ),9694405.150000000372529,9694405.150000000372529
FS( 7 ),9810004.699999999254942,9810004.699999999254942
FS( 8 ),9767656.350000001490116,9767656.350000001490116
FS( 9 ),9521578.099999999627471,9521578.099999999627471
FS( 10 ),9628021.250000000000000,9628021.250000000000000
FS( 11 ),9719585.250000000000000,9719585.250000000000000
FS( 12 ),9383087.550000000745058,9383087.550000000745058
FS( 13 ),10463542.750000000000000,10463542.750000000000000
FS( 14 ),10309028.500000000000000,10309028.500000000000000
FS( 15 ),10242644.599999999627471,10242644.599999999627471
FS( 16 ),10484144.650000000372529,10484144.650000000372529
FS( 17 ),10491011.949999999254942,10491011.949999999254942
FS( 18 ),10852689.750000000000000,10852689.750000000000000
FS( 19 ),10588298.700000001117587,10588298.700000001117587
FS( 20 ),10489867.400000000372529,10489867.400000000372529
FS( 21 ),10407459.800000000745058,10407459.800000000745058
FS( 22 ),10699320.050000000745058,10699320.050000000745058
FS( 23 ),10624924.300000000745058,10624924.300000000745058
FS( 24 ),10576853.199999999254942,10576853.199999999254942
FS( 25 ),11003770.349999999627471,11003770.349999999627471
FS( 26 ),11081599.750000000000000,11081599.750000000000000
FS( 27 ),10675284.500000000000000,10675284.500000000000000
FS( 28 ),10891604.449999999254942,10891604.449999999254942
FS( 29 ),10881303.500000000000000,10881303.500000000000000
FS( 30 ),10740523.850000001490116,10740523.850000001490116
FS( 31 ),10377701.500000000000000,10377701.500000000000000
FS( 32 ),10473843.700000001117587,10473843.700000001117587
FS( 33 ),10178549.800000000745058,10178549.800000000745058
FS( 34 ),10162526.100000001490116,10162526.100000001490116
FS( 35 ),9656635.000000000000000,9656635.000000000000000
FS( 36 ),9888978.650000000372529,9888978.650000000372529
FS( 37 ),9831751.150000000372529,9831751.150000000372529
FS( 38 ),10183128.000000000000000,10183128.000000000000000
FS( 39 ),10533360.300000000745058,10533360.300000000745058
FS( 40 ),10192284.400000000372529,10192284.400000000372529
FS( 41 ),10045782.000000000000000,10045782.000000000000000
FS( 42 ),10242644.599999999627471,10242644.599999999627471
FS( 43 ),10012590.050000000745058,10012590.050000000745058
FS( 44 ),9821450.200000001117587,9821450.200000001117587
FS( 45 ),9554770.050000000745058,9554770.050000000745058
FS( 46 ),9986265.400000000372529,9986265.400000000372529
FS( 47 ),10143068.750000000000000,10143068.750000000000000
FS( 48 ),10346798.650000000372529,10346798.650000000372529
FS( 49 ),10342220.450000001117587,10342220.450000001117587
FS( 50 ),10440651.750000000000000,10440651.750000000000000
FS( 51 ),10634080.699999999254942,10634080.699999999254942
FS( 52 ),10524203.900000000372529,10524203.900000000372529
FS( 53 ),10605466.949999999254942,10605466.949999999254942
FS( 54 ),10588298.700000001117587,10588298.700000001117587
FS( 55 ),11297919.699999999254942,11297919.699999999254942
FS( 56 ),11250993.150000000372529,11250993.150000000372529
FS( 57 ),11210933.900000000372529,11210933.900000000372529
FS( 58 ),11305931.550000000745058,11305931.550000000745058
FS( 59 ),10776004.900000000372529,10776004.900000000372529
FS( 60 ),10818353.250000000000000,10818353.250000000000000
FS( 61 ),11089611.599999999627471,11089611.599999999627471
FS( 62 ),11172019.200000001117587,11172019.200000001117587
FS( 63 ),11539419.750000000000000,11539419.750000000000000
FS( 64 ),11699656.750000000000000,11699656.750000000000000
FS( 65 ),11624116.450000001117587,11624116.450000001117587
FS( 66 ),11302497.900000000372529,11302497.900000000372529
FS( 67 ),11581768.099999999627471,11581768.099999999627471
FS( 68 ),11640140.150000000372529,11640140.150000000372529
FS( 69 ),11439843.900000000372529,11439843.900000000372529
FS( 70 ),11362014.500000000000000,11362014.500000000000000
FS( 71 ),11313943.400000000372529,11313943.400000000372529
FS( 72 ),11609237.300000000745058,11609237.300000000745058
FS( 73 ),11590924.500000000000000,11590924.500000000000000
FS( 74 ),11494782.300000000745058,11494782.300000000745058
FS( 75 ),11709957.700000001117587,11709957.700000001117587
FS( 76 ),11737426.900000000372529,11737426.900000000372529
FS( 77 ),11608092.750000000000000,11608092.750000000000000
FS( 78 ),11454723.050000000745058,11454723.050000000745058
FS( 79 ),11439843.900000000372529,11439843.900000000372529
FS( 80 ),11667609.349999999627471,11667609.349999999627471
FS( 81 ),11907964.850000001490116,11907964.850000001490116
FS( 82 ),11812967.199999999254942,11812967.199999999254942
FS( 83 ),11973204.200000001117587,11973204.200000001117587
FS( 84 ),12154043.099999999627471,12154043.099999999627471
FS( 85 ),12115128.400000000372529,12115128.400000000372529
FS( 86 ),11974348.750000000000000,11974348.750000000000000
FS( 87 ),11742005.100000001490116,11742005.100000001490116
FS( 88 ),11616104.599999999627471,11616104.599999999627471
FS( 89 ),11777486.150000000372529,11777486.150000000372529
FS( 90 ),11896519.349999999627471,11896519.349999999627471
FS( 91 ),11704234.950000001117587,11704234.950000001117587
FS( 92 ),11565744.400000000372529,11565744.400000000372529
