代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,13481668.219999998807907
真實報酬,3481668.219999998807907

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,13799.365561344948219
風險,250530.926835892110830
起點值,0.055080487409780
找到最佳解世代,1205
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,1
MCD[15](1),
Stock#,MCD[15](1),
張數,136109,
分配資金,10000000.000000000000000,
剩餘資金,71.769999999552965,
FS( 1 ),10000000.000000000000000,10000000.000000000000000
FS( 2 ),10023138.529999999329448,10023138.529999999329448
FS( 3 ),10048999.240000000223517,10048999.240000000223517
FS( 4 ),10078943.219999998807907,10078943.219999998807907
FS( 5 ),9997277.820000000298023,9997277.820000000298023
FS( 6 ),10257246.009999999776483,10257246.009999999776483
FS( 7 ),10334828.140000000596046,10334828.140000000596046
FS( 8 ),10311689.609999999403954,10311689.609999999403954
FS( 9 ),10363411.029999999329448,10363411.029999999329448
FS( 10 ),10377021.929999999701977,10377021.929999999701977
FS( 11 ),10364772.120000001043081,10364772.120000001043081
FS( 12 ),10347077.949999999254942,10347077.949999999254942
FS( 13 ),10341633.589999999850988,10341633.589999999850988
FS( 14 ),10362049.939999999478459,10362049.939999999478459
FS( 15 ),10303523.070000000298023,10303523.070000000298023
FS( 16 ),10234107.479999998584390,10234107.479999998584390
FS( 17 ),10236829.659999998286366,10236829.659999998286366
FS( 18 ),10132025.729999998584390,10132025.729999998584390
FS( 19 ),10300800.890000000596046,10300800.890000000596046
FS( 20 ),10193274.779999999329448,10193274.779999999329448
FS( 21 ),10166052.979999998584390,10166052.979999998584390
FS( 22 ),10377021.929999999701977,10377021.929999999701977
FS( 23 ),10348439.039999999105930,10348439.039999999105930
FS( 24 ),10383827.380000000819564,10383827.380000000819564
FS( 25 ),10281745.630000000819564,10281745.630000000819564
FS( 26 ),10314411.789999999105930,10314411.789999999105930
FS( 27 ),10436909.890000000596046,10436909.890000000596046
FS( 28 ),10443715.339999999850988,10443715.339999999850988
FS( 29 ),10299439.799999998882413,10299439.799999998882413
FS( 30 ),10224579.849999999627471,10224579.849999999627471
FS( 31 ),9987750.189999999478459,9987750.189999999478459
FS( 32 ),9990472.370000001043081,9990472.370000001043081
FS( 33 ),9934667.679999999701977,9934667.679999999701977
FS( 34 ),10039471.609999999403954,10039471.609999999403954
FS( 35 ),10054443.599999999627471,10054443.599999999627471
FS( 36 ),10144275.539999999105930,10144275.539999999105930
FS( 37 ),10198719.140000000596046,10198719.140000000596046
FS( 38 ),10242274.019999999552965,10242274.019999999552965
FS( 39 ),10208246.769999999552965,10208246.769999999552965
FS( 40 ),10258607.099999999627471,10258607.099999999627471
FS( 41 ),10318495.060000000521541,10318495.060000000521541
FS( 42 ),10356605.580000000074506,10356605.580000000074506
FS( 43 ),10342994.679999999701977,10342994.679999999701977
FS( 44 ),10397438.279999999329448,10397438.279999999329448
FS( 45 ),10426021.169999998062849,10426021.169999998062849
FS( 46 ),10442354.250000000000000,10442354.250000000000000
FS( 47 ),10345716.859999999403954,10345716.859999999403954
FS( 48 ),10349800.130000000819564,10349800.130000000819564
FS( 49 ),10378383.019999999552965,10378383.019999999552965
FS( 50 ),10434187.709999999031425,10434187.709999999031425
FS( 51 ),10465492.779999999329448,10465492.779999999329448
FS( 52 ),10489992.399999998509884,10489992.399999998509884
FS( 53 ),10532186.189999999478459,10532186.189999999478459
FS( 54 ),10480464.769999999552965,10480464.769999999552965
FS( 55 ),10426021.169999998062849,10426021.169999998062849
FS( 56 ),10671017.370000001043081,10671017.370000001043081
FS( 57 ),10468214.959999999031425,10468214.959999999031425
FS( 58 ),10498158.939999999478459,10498158.939999999478459
FS( 59 ),10472298.229999998584390,10472298.229999998584390
FS( 60 ),10598879.599999999627471,10598879.599999999627471
FS( 61 ),10620657.039999999105930,10620657.039999999105930
FS( 62 ),10658767.560000000521541,10658767.560000000521541
FS( 63 ),10703683.529999999329448,10703683.529999999329448
FS( 64 ),10744516.229999998584390,10744516.229999998584390
FS( 65 ),10762210.399999998509884,10762210.399999998509884
FS( 66 ),10698239.169999998062849,10698239.169999998062849
FS( 67 ),10711850.070000000298023,10711850.070000000298023
FS( 68 ),10794876.560000000521541,10794876.560000000521541
FS( 69 ),10849320.159999998286366,10849320.159999998286366
FS( 70 ),10822098.359999999403954,10822098.359999999403954
FS( 71 ),10978623.709999999031425,10978623.709999999031425
FS( 72 ),10989512.429999999701977,10989512.429999999701977
FS( 73 ),11043956.029999999329448,11043956.029999999329448
FS( 74 ),11015373.140000000596046,11015373.140000000596046
FS( 75 ),11092955.269999999552965,11092955.269999999552965
FS( 76 ),11230425.359999999403954,11230425.359999999403954
FS( 77 ),11205925.740000000223517,11205925.740000000223517
FS( 78 ),11229064.269999999552965,11229064.269999999552965
FS( 79 ),11248119.529999999329448,11248119.529999999329448
FS( 80 ),11259008.250000000000000,11259008.250000000000000
FS( 81 ),11219536.640000000596046,11219536.640000000596046
FS( 82 ),11109288.349999999627471,11109288.349999999627471
FS( 83 ),11098399.630000000819564,11098399.630000000819564
FS( 84 ),11022178.589999999850988,11022178.589999999850988
FS( 85 ),10990873.519999999552965,10990873.519999999552965
FS( 86 ),10962290.630000000819564,10962290.630000000819564
FS( 87 ),10984068.070000000298023,10984068.070000000298023
FS( 88 ),11043956.029999999329448,11043956.029999999329448
FS( 89 ),11045317.120000001043081,11045317.120000001043081
FS( 90 ),11060289.109999999403954,11060289.109999999403954
FS( 91 ),10937791.009999999776483,10937791.009999999776483
FS( 92 ),10988151.339999999850988,10988151.339999999850988
FS( 93 ),11088872.000000000000000,11088872.000000000000000
FS( 94 ),11057566.929999999701977,11057566.929999999701977
FS( 95 ),11135149.060000000521541,11135149.060000000521541
FS( 96 ),11231786.449999999254942,11231786.449999999254942
FS( 97 ),11254924.979999998584390,11254924.979999998584390
FS( 98 ),11269896.969999998807907,11269896.969999998807907
FS( 99 ),11249480.620000001043081,11249480.620000001043081
FS( 100 ),11200481.380000000819564,11200481.380000000819564
FS( 101 ),11139232.330000000074506,11139232.330000000074506
FS( 102 ),11204564.649999998509884,11204564.649999998509884
FS( 103 ),11480865.919999998062849,11480865.919999998062849
FS( 104 ),11510809.899999998509884,11510809.899999998509884
FS( 105 ),11476782.649999998509884,11476782.649999998509884
FS( 106 ),11657807.620000001043081,11657807.620000001043081
FS( 107 ),11656446.529999999329448,11656446.529999999329448
FS( 108 ),11686390.509999999776483,11686390.509999999776483
FS( 109 ),11713612.310000000521541,11713612.310000000521541
FS( 110 ),11651002.169999998062849,11651002.169999998062849
FS( 111 ),11616974.919999998062849,11616974.919999998062849
FS( 112 ),11567975.679999999701977,11567975.679999999701977
FS( 113 ),11563892.409999998286366,11563892.409999998286366
FS( 114 ),11679585.060000000521541,11679585.060000000521541
FS( 115 ),11634669.089999999850988,11634669.089999999850988
FS( 116 ),11623780.370000001043081,11623780.370000001043081
FS( 117 ),11734028.659999998286366,11734028.659999998286366
FS( 118 ),11742195.199999999254942,11742195.199999999254942
FS( 119 ),11778944.630000000819564,11778944.630000000819564
FS( 120 ),12053884.810000000521541,12053884.810000000521541
FS( 121 ),11993996.849999999627471,11993996.849999999627471
FS( 122 ),11980385.949999999254942,11980385.949999999254942
FS( 123 ),11853804.580000000074506,11853804.580000000074506
FS( 124 ),11811610.789999999105930,11811610.789999999105930
FS( 125 ),11770778.089999999850988,11770778.089999999850988
FS( 126 ),11758528.279999999329448,11758528.279999999329448
FS( 127 ),11577503.310000000521541,11577503.310000000521541
FS( 128 ),11642835.630000000819564,11642835.630000000819564
FS( 129 ),11471338.289999999105930,11471338.289999999105930
FS( 130 ),11580225.490000000223517,11580225.490000000223517
FS( 131 ),11175981.759999999776483,11175981.759999999776483
FS( 132 ),11700001.409999998286366,11700001.409999998286366
FS( 133 ),11444116.490000000223517,11444116.490000000223517
FS( 134 ),11743556.289999999105930,11743556.289999999105930
FS( 135 ),11773500.269999999552965,11773500.269999999552965
FS( 136 ),11817055.149999998509884,11817055.149999998509884
FS( 137 ),11796638.799999998882413,11796638.799999998882413
FS( 138 ),11909609.269999999552965,11909609.269999999552965
FS( 139 ),11652363.259999999776483,11652363.259999999776483
FS( 140 ),11872859.839999999850988,11872859.839999999850988
FS( 141 ),11944997.609999999403954,11944997.609999999403954
FS( 142 ),12185910.539999999105930,12185910.539999999105930
FS( 143 ),12267575.939999999478459,12267575.939999999478459
FS( 144 ),12074301.159999998286366,12074301.159999998286366
FS( 145 ),12240354.140000000596046,12240354.140000000596046
FS( 146 ),12357407.880000000819564,12357407.880000000819564
FS( 147 ),12356046.789999999105930,12356046.789999999105930
FS( 148 ),12305686.459999999031425,12305686.459999999031425
FS( 149 ),12259409.399999998509884,12259409.399999998509884
FS( 150 ),12126022.580000000074506,12126022.580000000074506
FS( 151 ),12089273.149999998509884,12089273.149999998509884
FS( 152 ),12153244.380000000819564,12153244.380000000819564
FS( 153 ),12060690.259999999776483,12060690.259999999776483
FS( 154 ),11573420.039999999105930,11573420.039999999105930
FS( 155 ),11731306.479999998584390,11731306.479999998584390
FS( 156 ),11721778.849999999627471,11721778.849999999627471
FS( 157 ),11807527.519999999552965,11807527.519999999552965
FS( 158 ),11987191.399999998509884,11987191.399999998509884
FS( 159 ),12017135.380000000819564,12017135.380000000819564
