訓練日期,20120202 - 20120504
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11517253.050000000745058
真實報酬,1517253.050000000745058

夏普值報酬,0.143025305000000
夏普值風險,0.041977764209274
夏普值,3.407168239998847

預期報酬,23326.255266107917123
風險,84433.477257173930411
趨勢值,0.276267850429268
找到最佳解世代,3089
找到最佳解實驗#,1
找到最佳解次數,31

stock[index](rank)
投資組合檔數,2
HD[9](1),KO[14](3),
Stock#,HD[9](1),KO[14](3),
張數,112435,147405,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,15.549999999813735,22.399999999441206,
20120202,4998875.650000000372529,5000000.000000000000000,9998875.650000000372529
20120203,5078704.500000000000000,5017688.599999999627471,10096393.099999999627471
20120206,5082077.549999999813735,5014740.500000000000000,10096818.050000000745058
20120207,5111310.650000000372529,5053065.799999999813735,10164376.449999999254942
20120208,5078704.500000000000000,5036851.250000000000000,10115555.750000000000000
20120209,5089948.000000000000000,5010318.349999999627471,10100266.349999999627471
20120210,5096694.099999999627471,5007370.249999999068677,10104064.349999997764826
20120213,5164155.099999999627471,5044221.499999999068677,10208376.599999997764826
20120214,5178771.650000000372529,5078124.649999999441206,10256896.300000000745058
20120215,5139419.400000000372529,5041273.399999999441206,10180692.800000000745058
20120216,5164155.099999999627471,5075176.549999999813735,10239331.649999998509884
20120217,5251854.400000000372529,5089917.049999999813735,10341771.449999999254942
20120221,5275465.750000000000000,5072228.449999999254942,10347694.199999999254942
20120222,5236113.500000000000000,5104657.549999999813735,10340771.050000000745058
20120223,5278838.799999999813735,5098761.349999999627471,10377600.149999998509884
20120224,5282211.849999999627471,5085494.899999999441206,10367706.750000000000000
20120227,5276590.099999999627471,5073702.500000000000000,10350292.599999999627471
20120228,5310320.599999999627471,5073702.500000000000000,10384023.099999999627471
20120229,5348548.500000000000000,5148879.049999999813735,10497427.550000000745058
20120301,5336180.650000000372529,5129716.399999999441206,10465897.050000000745058
20120302,5330558.899999999441206,5098761.349999999627471,10429320.250000000000000
20120305,5328310.200000000186265,5103183.499999999068677,10431493.699999999254942
20120306,5215875.200000000186265,5067806.299999999813735,10283681.500000000000000
20120307,5328310.200000000186265,5070754.399999999441206,10399064.599999999627471
20120308,5376657.250000000000000,5106131.599999999627471,10482788.849999999627471
20120309,5408139.049999999813735,5123820.199999999254942,10531959.250000000000000
20120312,5463232.200000000186265,5170989.799999998882413,10634222.000000000000000
20120313,5525071.450000000186265,5178360.049999999813735,10703431.500000000000000
20120314,5562175.000000000000000,5175411.949999999254942,10737586.949999999254942
20120315,5531817.549999999813735,5184256.250000000000000,10716073.800000000745058
20120316,5514952.299999999813735,5170989.799999998882413,10685942.099999997764826
20120319,5490216.599999999627471,5188678.399999999441206,10678895.000000000000000
20120320,5552055.850000000558794,5203418.899999999441206,10755474.750000000000000
20120321,5598154.199999999254942,5241744.200000000186265,10839898.399999998509884
20120322,5585786.349999999627471,5263854.949999999254942,10849641.299999998882413
20120323,5570045.449999999254942,5268277.099999999627471,10838322.549999998882413
20120326,5636382.100000000558794,5299232.149999999441206,10935614.250000000000000
20120327,5626262.949999999254942,5297758.099999998696148,10924021.049999997019768
20120328,5611646.399999999441206,5355246.049999998882413,10966892.449999999254942
20120329,5611646.399999999441206,5440740.949999999254942,11052387.349999997764826
20120330,5656620.400000000372529,5455481.449999999254942,11112101.849999999627471
20120402,5620641.200000000186265,5464325.749999999068677,11084966.949999999254942
20120403,5621765.549999999813735,5436318.799999999813735,11058084.349999999627471
20120404,5604900.299999999813735,5414208.049999998882413,11019108.349999997764826
20120405,5691475.249999999068677,5415682.099999999627471,11107157.349999997764826
20120409,5686977.849999999627471,5371460.599999998696148,11058438.449999999254942
20120410,5549807.149999999441206,5308076.449999999254942,10857883.599999997764826
20120411,5593656.799999999813735,5315446.700000000186265,10909103.500000000000000
20120412,5692599.600000000558794,5322816.949999999254942,11015416.550000000745058
20120413,5729703.150000000372529,5302180.249999999068677,11031883.399999998509884
20120416,5811780.699999999254942,5339031.499999999068677,11150812.199999999254942
20120417,5850008.599999999627471,5451059.299999998882413,11301067.899999998509884
20120418,5825272.900000000372529,5467273.849999999627471,11292546.750000000000000
20120419,5797164.150000000372529,5440740.949999999254942,11237905.099999999627471
20120420,5785920.650000000372529,5464325.749999999068677,11250246.399999998509884
20120423,5745444.049999999813735,5431896.649999999441206,11177340.699999999254942
20120424,5760060.599999999627471,5462851.700000000186265,11222912.300000000745058
20120425,5836516.399999999441206,5523287.749999999068677,11359804.149999998509884
20120426,5832018.999999999068677,5579301.649999999441206,11411320.649999998509884
20120427,5841013.799999999813735,5648581.999999999068677,11489595.799999998882413
20120430,5823024.199999999254942,5624997.199999999254942,11448021.399999998509884
20120501,5882614.750000000000000,5670692.749999999068677,11553307.500000000000000
20120502,5926464.400000000372529,5686907.299999998882413,11613371.699999999254942
20120503,5899480.000000000000000,5707543.999999999068677,11607024.000000000000000
20120504,5842138.150000000372529,5675114.899999999441206,11517253.050000000745058
