訓練日期,20141014 - 20150115
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11851003.040000000968575
真實報酬,1851003.040000000968575

夏普值報酬,0.176400304000000
夏普值風險,0.056916550800233
夏普值,3.099279585987794

預期報酬,32629.315603694034507
風險,138013.000110825174488
趨勢值,0.236422044137092
找到最佳解世代,3093
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
PFE[20](3),WBA[27](1),
Stock#,PFE[20](3),WBA[27](1),
張數,175623,82385,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,13.190000000409782,54.350000000558794,
20141014,4998243.770000000484288,5000000.000000000000000,9998243.769999999552965
20141015,4950825.560000000521541,5021420.100000000558794,9972245.660000000149012
20141016,4864770.290000000037253,4975284.500000000931323,9840054.790000000968575
20141017,4887601.280000000260770,4965398.300000000745058,9852999.580000001937151
20141020,4905163.580000000074506,4959631.350000000558794,9864794.929999999701977
20141021,4966631.630000000819564,5070851.100000000558794,10037482.730000000447035
20141022,4970144.090000000782311,5066731.850000000558794,10036875.940000001341105
20141023,5022830.990000000223517,5113691.300000000745058,10136522.290000000968575
20141024,5112398.720000000670552,5161474.600000000558794,10273873.320000000298023
20141027,5098348.880000000819564,5199371.700000000186265,10297720.580000001937151
20141028,5108886.260000000707805,5247978.850000000558794,10356865.110000001266599
20141029,5179135.459999999962747,5176303.900000000372529,10355439.359999999403954
20141030,5240603.510000000707805,5187013.950000000186265,10427617.460000000894070
20141031,5259922.040000000037253,5290819.050000000745058,10550741.089999999850988
20141103,5302071.560000000521541,5353431.650000001303852,10655503.210000000894070
20141104,5317877.630000000819564,5374851.750000000000000,10692729.380000000819564
20141105,5275728.110000000335276,5409453.450000000186265,10685181.560000000521541
20141106,5275728.110000000335276,5491014.600000001490116,10766742.710000000894070
20141107,5254653.350000000558794,5513258.550000000745058,10767911.900000002235174
20141110,5303827.790000000037253,5584109.650000000372529,10887937.440000001341105
20141111,5324902.550000000745058,5561041.850000000558794,10885944.400000002235174
20141112,5342464.850000000558794,5556098.750000000000000,10898563.600000001490116
20141113,5342464.850000000558794,5516553.950000000186265,10859018.800000000745058
20141114,5328415.010000000707805,5514082.400000001303852,10842497.410000002011657
20141117,5324902.550000000745058,5482776.100000000558794,10807678.650000002235174
20141118,5372320.760000000707805,5607177.450000001117587,10979498.210000000894070
20141119,5345977.310000000521541,5584933.500000000931323,10930910.810000002384186
20141120,5345977.310000000521541,5547860.250000000931323,10893837.560000002384186
20141121,5347733.540000000037253,5568456.500000000931323,10916190.040000000968575
20141124,5307340.250000000000000,5579990.400000001303852,10887330.650000002235174
20141125,5351246.000000000000000,5586581.200000001117587,10937827.200000001117587
20141126,5461888.490000000223517,5640955.300000000745058,11102843.790000000968575
20141128,5470669.640000000596046,5652489.200000000186265,11123158.839999999850988
20141201,5489988.170000000856817,5583285.799999999813735,11073273.970000000670552
20141202,5544431.300000000745058,5499253.100000000558794,11043684.400000002235174
20141203,5576043.440000000409782,5551155.650000000372529,11127199.089999999850988
20141204,5561993.600000000558794,5593995.850000001490116,11155989.450000002980232
20141205,5618192.959999999962747,5651665.349999999627471,11269858.309999998658895
20141208,5614680.500000000000000,5579990.400000001303852,11194670.900000002235174
20141209,5611168.040000000037253,5650841.500000000931323,11262009.540000000968575
20141210,5595361.970000000670552,5614592.100000001490116,11209954.070000002160668
20141211,5558481.140000000596046,6014983.200000001117587,11573464.340000001713634
20141212,5435545.040000000037253,6137736.850000000558794,11573281.890000000596046
20141215,5419738.970000000670552,6050408.750000000000000,11470147.720000000670552
20141216,5386370.600000000558794,5963904.500000000931323,11350275.100000001490116
20141217,5465400.950000000186265,5930950.500000000000000,11396351.449999999254942
20141218,5614680.500000000000000,6127850.650000000372529,11742531.150000000372529
20141219,5609411.810000000521541,6033107.900000001303852,11642519.710000000894070
20141222,5635755.260000000707805,6118788.299999999813735,11754543.560000000521541
20141223,5523356.540000000037253,6303330.700000001117587,11826687.240000002086163
20141224,5518087.850000000558794,6316512.300000000745058,11834600.150000002235174
20141226,5558481.140000000596046,6299211.450000000186265,11857692.589999999850988
20141229,5512819.160000000149012,6326398.500000000931323,11839217.660000000149012
20141230,5511062.930000000633299,6265433.600000000558794,11776496.530000001192093
20141231,5470669.640000000596046,6277791.350000000558794,11748460.990000002086163
20150102,5502281.780000000260770,6261314.350000000558794,11763596.130000000819564
20150105,5472425.870000000111759,6137736.850000000558794,11610162.720000000670552
20150106,5518087.850000000558794,6153390.000000000000000,11671477.850000001490116
20150107,5593605.740000000223517,6310745.349999999627471,11904351.089999999850988
20150108,5707760.690000000409782,6389011.100000000558794,12096771.790000000968575
20150109,5734104.140000000596046,6234127.300000000745058,11968231.440000001341105
20150112,5755178.900000001303852,6236598.850000000558794,11991777.750000001862645
20150113,5697223.309999999590218,6200349.450000001117587,11897572.760000001639128
20150114,5704248.229999999515712,6178105.500000000000000,11882353.730000000447035
20150115,5690198.390000000596046,6160804.650000000372529,11851003.040000000968575
