代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11027645.220000000670552
真實報酬,1027645.220000000670552

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,11731.803672392885346
風險,260547.146100746380398
起點值,0.045027565444361
找到最佳解世代,2399
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,1
PG[21](1),
Stock#,PG[21](1),
張數,107158,
分配資金,10000000.000000000000000,
剩餘資金,15.440000001341105,
FS( 1 ),10000000.000000000000000,10000000.000000000000000
FS( 2 ),9998928.420000001788139,9998928.420000001788139
FS( 3 ),10024646.340000001713634,10024646.340000001713634
FS( 4 ),9906772.540000000968575,9906772.540000000968575
FS( 5 ),9968924.180000001564622,9968924.180000001564622
FS( 6 ),10063223.220000000670552,10063223.220000000670552
FS( 7 ),10076082.180000001564622,10076082.180000001564622
FS( 8 ),10339690.860000001266599,10339690.860000001266599
FS( 9 ),10355764.560000000521541,10355764.560000000521541
FS( 10 ),9941063.100000001490116,9941063.100000001490116
FS( 11 ),9911058.860000001266599,9911058.860000001266599
FS( 12 ),9832833.520000001415610,9832833.520000001415610
FS( 13 ),9749250.280000001192093,9749250.280000001192093
FS( 14 ),9748178.700000001117587,9748178.700000001117587
FS( 15 ),9361338.320000002160668,9361338.320000002160668
FS( 16 ),9653879.660000002011657,9653879.660000002011657
FS( 17 ),9860694.600000001490116,9860694.600000001490116
FS( 18 ),9770681.880000002682209,9770681.880000002682209
FS( 19 ),9849978.800000000745058,9849978.800000000745058
FS( 20 ),9781397.680000001564622,9781397.680000001564622
FS( 21 ),9712816.560000000521541,9712816.560000000521541
FS( 22 ),9911058.860000001266599,9911058.860000001266599
FS( 23 ),9871410.400000002235174,9871410.400000002235174
FS( 24 ),9907844.120000001043081,9907844.120000001043081
FS( 25 ),9746035.540000000968575,9746035.540000000968575
FS( 26 ),9769610.300000000745058,9769610.300000000745058
FS( 27 ),9833905.100000001490116,9833905.100000001490116
FS( 28 ),9767467.140000002458692,9767467.140000002458692
FS( 29 ),9859623.020000001415610,9859623.020000001415610
FS( 30 ),9791041.900000002235174,9791041.900000002235174
FS( 31 ),9712816.560000000521541,9712816.560000000521541
FS( 32 ),9796399.800000000745058,9796399.800000000745058
FS( 33 ),9691384.960000000894070,9691384.960000000894070
FS( 34 ),10162880.160000002011657,10162880.160000002011657
FS( 35 ),10105014.840000001713634,10105014.840000001713634
FS( 36 ),10030004.240000000223517,10030004.240000000223517
FS( 37 ),10021431.600000001490116,10021431.600000001490116
FS( 38 ),10023574.760000001639128,10023574.760000001639128
FS( 39 ),10128589.600000001490116,10128589.600000001490116
FS( 40 ),10337547.700000001117587,10337547.700000001117587
FS( 41 ),10444705.700000001117587,10444705.700000001117587
FS( 42 ),10504714.180000001564622,10504714.180000001564622
FS( 43 ),10441490.960000000894070,10441490.960000000894070
FS( 44 ),10492926.800000000745058,10492926.800000000745058
FS( 45 ),10409343.560000000521541,10409343.560000000521541
FS( 46 ),10470423.620000001043081,10470423.620000001043081
FS( 47 ),10530432.100000001490116,10530432.100000001490116
FS( 48 ),10636518.520000001415610,10636518.520000001415610
FS( 49 ),10634375.360000001266599,10634375.360000001266599
FS( 50 ),10550792.120000001043081,10550792.120000001043081
FS( 51 ),10552935.280000001192093,10552935.280000001192093
FS( 52 ),10714743.860000001266599,10714743.860000001266599
FS( 53 ),10638661.680000001564622,10638661.680000001564622
FS( 54 ),10692240.680000001564622,10692240.680000001564622
FS( 55 ),10742604.940000001341105,10742604.940000001341105
FS( 56 ),10669737.500000000000000,10669737.500000000000000
FS( 57 ),10697598.580000001937151,10697598.580000001937151
FS( 58 ),10599013.220000000670552,10599013.220000000670552
FS( 59 ),10560436.340000001713634,10560436.340000001713634
FS( 60 ),10548648.960000000894070,10548648.960000000894070
FS( 61 ),10594726.900000002235174,10594726.900000002235174
FS( 62 ),10618301.660000002011657,10618301.660000002011657
FS( 63 ),10601156.380000002682209,10601156.380000002682209
FS( 64 ),10560436.340000001713634,10560436.340000001713634
FS( 65 ),10545434.220000000670552,10545434.220000000670552
FS( 66 ),10670809.080000001937151,10670809.080000001937151
FS( 67 ),10721173.340000001713634,10721173.340000001713634
FS( 68 ),10842261.880000002682209,10842261.880000002682209
FS( 69 ),10857264.000000000000000,10857264.000000000000000
FS( 70 ),10977280.960000000894070,10977280.960000000894070
FS( 71 ),10877624.020000001415610,10877624.020000001415610
