訓練日期,20181012 - 20190116
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11122306.929999999701977
真實報酬,1122306.929999999701977

夏普值報酬,0.103530693000000
夏普值風險,0.033574535931725
夏普值,3.083607565284965

預期報酬,27514.547509955678834
風險,461315.611614825378638
趨勢值,0.059643651368402
找到最佳解世代,1629
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
MRK[17](2),PG[21](1),
Stock#,MRK[17](2),PG[21](1),
張數,71622,63243,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,68.179999999701977,8.419999999925494,
FS( 1 ),5000000.000000000000000,5000000.000000000000000,10000000.000000000000000
FS( 2 ),4974932.299999998882413,5067670.009999999776483,10042602.309999998658895
FS( 3 ),5100987.019999999552965,5123323.850000000558794,10224310.870000001043081
FS( 4 ),5143960.219999998807907,5177080.399999999441206,10321040.619999997317791
FS( 5 ),5171892.799999998882413,5074626.739999999292195,10246519.539999999105930
FS( 6 ),5181919.879999998956919,5521122.319999999366701,10703042.199999999254942
FS( 7 ),5197676.719999998807907,5476852.219999999739230,10674528.939999997615814
FS( 8 ),5164014.379999998956919,5512268.299999999813735,10676282.679999999701977
FS( 9 ),5052284.060000000521541,5657727.199999999254942,10710011.259999999776483
FS( 10 ),5010743.299999998882413,5628635.419999999925494,10639378.719999998807907
FS( 11 ),5042256.980000000447035,5556538.399999999441206,10598795.379999998956919
FS( 12 ),5117460.080000000074506,5580570.739999999292195,10698030.820000000298023
FS( 13 ),5219163.320000000298023,5640651.589999999850988,10859814.910000000149012
FS( 14 ),5272163.599999999627471,5608397.660000000149012,10880561.259999999776483
FS( 15 ),5237068.820000000298023,5665948.790000000037253,10903017.609999999403954
FS( 16 ),5176190.119999999180436,5679862.250000000000000,10856052.369999999180436
FS( 17 ),5237068.820000000298023,5767770.020000000484288,11004838.839999999850988
FS( 18 ),5250677.000000000000000,5787375.350000000558794,11038052.350000001490116
FS( 19 ),5377447.939999999478459,5773461.890000000596046,11150909.830000000074506
FS( 20 ),5406096.740000000223517,5777888.899999999441206,11183985.640000000596046
FS( 21 ),5361691.099999999627471,5844294.049999999813735,11205985.149999998509884
FS( 22 ),5349515.359999999403954,5862634.520000000484288,11212149.879999998956919
FS( 23 ),5343785.599999999627471,5911331.629999999888241,11255117.230000000447035
FS( 24 ),5306542.160000000149012,5912596.489999999292195,11219138.649999998509884
FS( 25 ),5360258.660000000149012,5934099.109999999403954,11294357.769999999552965
FS( 26 ),5447637.500000000000000,5933466.679999999701977,11381104.179999999701977
FS( 27 ),5468407.879999998956919,5899947.890000000596046,11368355.769999999552965
FS( 28 ),5355961.339999999850988,5824688.719999999739230,11180650.059999998658895
FS( 29 ),5356677.560000000521541,5781051.049999999813735,11137728.609999999403954
FS( 30 ),5348082.919999999925494,5789272.640000000596046,11137355.560000000521541
FS( 31 ),5403231.859999999403954,5814569.839999999850988,11217801.699999999254942
FS( 32 ),5467691.660000000149012,5863899.379999999888241,11331591.039999999105930
FS( 33 ),5531435.240000000223517,5882239.850000000558794,11413675.089999999850988
FS( 34 ),5580138.199999999254942,5870223.679999999701977,11450361.879999998956919
FS( 35 ),5682557.660000000149012,5977104.350000000558794,11659662.010000001639128
FS( 36 ),5673963.019999999552965,5901845.179999999701977,11575808.199999999254942
FS( 37 ),5601624.799999998882413,5901212.750000000000000,11502837.549999998882413
FS( 38 ),5613084.320000000298023,5916391.069999999366701,11529475.390000000596046
FS( 39 ),5494908.019999999552965,5846823.770000000484288,11341731.789999999105930
FS( 40 ),5545043.419999999925494,5883504.709999999962747,11428548.129999998956919
FS( 41 ),5522840.599999999627471,5939158.549999999813735,11461999.149999998509884
FS( 42 ),5587300.400000000372529,5946747.709999999962747,11534048.109999999403954
FS( 43 ),5658922.400000000372529,6102325.489999999292195,11761247.890000000596046
FS( 44 ),5477718.740000000223517,6111811.940000000409782,11589530.679999999701977
FS( 45 ),5388191.240000000223517,5867061.529999999329448,11255252.769999999552965
FS( 46 ),5323731.439999999478459,5849353.489999999292195,11173084.929999999701977
FS( 47 ),5283623.119999999180436,5803186.100000000558794,11086809.219999998807907
FS( 48 ),5263568.959999999031425,5753856.560000000521541,11017425.519999999552965
FS( 49 ),5221311.980000000447035,5753224.129999999888241,10974536.109999999403954
FS( 50 ),5095973.480000000447035,5524916.899999999441206,10620890.379999998956919
FS( 51 ),5300096.179999999701977,5697570.290000000037253,10997666.469999998807907
FS( 52 ),5398934.539999999105930,5819629.279999999329448,11218563.819999998435378
FS( 53 ),5398218.320000000298023,5766505.160000000149012,11164723.480000000447035
FS( 54 ),5472705.199999999254942,5813304.980000000447035,11286010.179999999701977
FS( 55 ),5413975.160000000149012,5772829.459999999962747,11186804.620000001043081
FS( 56 ),5302961.060000000521541,5732353.940000000409782,11035315.000000000000000
FS( 57 ),5462678.119999999180436,5849353.489999999292195,11312031.609999999403954
FS( 58 ),5402515.640000000596046,5825953.580000000074506,11228469.220000000670552
FS( 59 ),5442623.959999999031425,5847456.199999999254942,11290080.159999998286366
FS( 60 ),5401083.199999999254942,5751959.270000000484288,11153042.469999998807907
FS( 61 ),5334474.740000000223517,5765872.730000000447035,11100347.470000000670552
FS( 62 ),5364555.980000000447035,5803818.529999999329448,11168374.509999999776483
FS( 63 ),5254974.320000000298023,5764607.870000000111759,11019582.190000001341105
FS( 64 ),5335907.179999999701977,5818996.850000000558794,11154904.030000001192093
FS( 65 ),5343785.599999999627471,5778521.330000000074506,11122306.929999999701977
