代數,10000
粒子數,10
旋轉角度上界,0.00125
旋轉角度下界,0.00045
實驗次數,50

初始資金,10000000.000000000000
最後資金,10360745.000000000000
真實報酬,360745.000000000000

夏普值報酬,0.000000000000
夏普值風險,0.000000000000
夏普值,0.000000000000

預期報酬,4684.686158318425
風險,76190.401648545143
起點值,0.061486565984
找到最佳解世代,2487
找到最佳解實驗#,1
找到最佳解次數,45

投資組合檔數,2
2412(24)[1],9999(49)[7],
Stock#,2412(24)[1],9999(49)[7],
張數,59,-1,
分配資金,5000000.000000000000,5000000.000000000000,
剩餘資金,32200.000000000000,5000000.000000000000,
FS( 1 ),5000000.000000000000,5000000.000000000000,10000000.000000000000
FS( 2 ),4989970.000000000000,5000000.000000000000,9989970.000000000000
FS( 3 ),4974629.999999999100,5000000.000000000000,9974630.000000000000
FS( 4 ),4933329.999999999100,5000000.000000000000,9933330.000000000000
FS( 5 ),4943950.000000000000,5000000.000000000000,9943950.000000000000
FS( 6 ),5030680.000000000000,5000000.000000000000,10030680.000000000000
FS( 7 ),4995280.000000000000,5000000.000000000000,9995280.000000000000
FS( 8 ),4995280.000000000000,5000000.000000000000,9995280.000000000000
FS( 9 ),5020650.000000000000,5000000.000000000000,10020650.000000000000
FS( 10 ),4995280.000000000000,5000000.000000000000,9995280.000000000000
FS( 11 ),4974629.999999999100,5000000.000000000000,9974630.000000000000
FS( 12 ),4943950.000000000000,5000000.000000000000,9943950.000000000000
FS( 13 ),4928610.000000000000,5000000.000000000000,9928610.000000000000
FS( 14 ),4938640.000000000000,5000000.000000000000,9938640.000000000000
FS( 15 ),4979940.000000000000,5000000.000000000000,9979940.000000000000
FS( 16 ),4995280.000000000000,5000000.000000000000,9995280.000000000000
FS( 17 ),5005310.000000000900,5000000.000000000000,10005310.000000000000
FS( 18 ),5020650.000000000000,5000000.000000000000,10020650.000000000000
FS( 19 ),5020650.000000000000,5000000.000000000000,10020650.000000000000
FS( 20 ),5020650.000000000000,5000000.000000000000,10020650.000000000000
FS( 21 ),5066670.000000000000,5000000.000000000000,10066670.000000000000
FS( 22 ),5046020.000000000900,5000000.000000000000,10046020.000000000000
FS( 23 ),5051329.999999999100,5000000.000000000000,10051330.000000000000
FS( 24 ),5061360.000000000000,5000000.000000000000,10061360.000000000000
FS( 25 ),5061360.000000000000,5000000.000000000000,10061360.000000000000
FS( 26 ),5082010.000000000000,5000000.000000000000,10082010.000000000000
FS( 27 ),5046020.000000000900,5000000.000000000000,10046020.000000000000
FS( 28 ),5030680.000000000000,5000000.000000000000,10030680.000000000000
FS( 29 ),5056640.000000000000,5000000.000000000000,10056640.000000000000
FS( 30 ),5056640.000000000000,5000000.000000000000,10056640.000000000000
FS( 31 ),5056640.000000000000,5000000.000000000000,10056640.000000000000
FS( 32 ),5140420.000000000000,5000000.000000000000,10140420.000000000000
FS( 33 ),5151040.000000000000,5000000.000000000000,10151040.000000000000
FS( 34 ),5145730.000000000000,5000000.000000000000,10145730.000000000000
FS( 35 ),5151040.000000000000,5000000.000000000000,10151040.000000000000
FS( 36 ),5161660.000000000000,5000000.000000000000,10161660.000000000000
FS( 37 ),5166970.000000000000,5000000.000000000000,10166970.000000000000
FS( 38 ),5172280.000000000000,5000000.000000000000,10172280.000000000000
FS( 39 ),5199420.000000000000,5000000.000000000000,10199420.000000000000
FS( 40 ),5172280.000000000000,5000000.000000000000,10172280.000000000000
FS( 41 ),5199420.000000000000,5000000.000000000000,10199420.000000000000
FS( 42 ),5226560.000000000900,5000000.000000000000,10226560.000000000000
FS( 43 ),5306800.000000000000,5000000.000000000000,10306800.000000000000
FS( 44 ),5296180.000000000000,5000000.000000000000,10296180.000000000000
FS( 45 ),5355770.000000000900,5000000.000000000000,10355770.000000000000
FS( 46 ),5377010.000000000000,5000000.000000000000,10377010.000000000000
FS( 47 ),5339250.000000000000,5000000.000000000000,10339250.000000000000
FS( 48 ),5306800.000000000000,5000000.000000000000,10306800.000000000000
FS( 49 ),5318010.000000000000,5000000.000000000000,10318010.000000000000
FS( 50 ),5344560.000000000900,5000000.000000000000,10344560.000000000000
FS( 51 ),5361079.999999999100,5000000.000000000000,10361080.000000000000
FS( 52 ),5328629.999999999100,5000000.000000000000,10328630.000000000000
FS( 53 ),5280250.000000000000,5000000.000000000000,10280250.000000000000
FS( 54 ),5274940.000000000000,5000000.000000000000,10274940.000000000000
FS( 55 ),5328629.999999999100,5000000.000000000000,10328630.000000000000
FS( 56 ),5328629.999999999100,5000000.000000000000,10328630.000000000000
FS( 57 ),5301490.000000000000,5000000.000000000000,10301490.000000000000
FS( 58 ),5280250.000000000000,5000000.000000000000,10280250.000000000000
FS( 59 ),5151040.000000000000,5000000.000000000000,10151040.000000000000
FS( 60 ),5161660.000000000000,5000000.000000000000,10161660.000000000000
FS( 61 ),5151040.000000000000,5000000.000000000000,10151040.000000000000
FS( 62 ),5204730.000000000000,5000000.000000000000,10204730.000000000000
FS( 63 ),5204730.000000000000,5000000.000000000000,10204730.000000000000
FS( 64 ),5349870.000000000000,5010875.000000000000,10360745.000000000000
