代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10761366.159999998286366
真實報酬,761366.159999998286366

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,33358.705138339842961
風險,35770.205130092013860
起點值,0.932583557097818
找到最佳解世代,2055
找到最佳解實驗#,19
找到最佳解次數,7

stock[index](rank)
投資組合檔數,1
AXP[1](1),
Stock#,AXP[1](1),
張數,127746,
分配資金,10000000.000000000000000,
剩餘資金,43.119999999180436,
FS( 1 ),10000000.000000000000000,10000000.000000000000000
FS( 2 ),10026826.659999998286366,10026826.659999998286366
FS( 3 ),10088144.739999998360872,10088144.739999998360872
FS( 4 ),10072815.219999998807907,10072815.219999998807907
FS( 5 ),10195451.379999998956919,10195451.379999998956919
FS( 6 ),10213335.820000000298023,10213335.820000000298023
FS( 7 ),10259324.379999998956919,10259324.379999998956919
FS( 8 ),10241439.939999999478459,10241439.939999999478459
FS( 9 ),10295093.259999999776483,10295093.259999999776483
FS( 10 ),10327029.759999999776483,10327029.759999999776483
FS( 11 ),10309145.320000000298023,10309145.320000000298023
FS( 12 ),10404954.820000000298023,10404954.820000000298023
FS( 13 ),10459885.599999997764826,10459885.599999997764826
FS( 14 ),10540365.580000000074506,10540365.580000000074506
FS( 15 ),10502041.779999997466803,10502041.779999997466803
FS( 16 ),10507151.619999999180436,10507151.619999999180436
FS( 17 ),10503319.239999998360872,10503319.239999998360872
FS( 18 ),10597851.279999997466803,10597851.279999997466803
FS( 19 ),10613180.799999998882413,10613180.799999998882413
FS( 20 ),10726874.739999998360872,10726874.739999998360872
FS( 21 ),10683441.099999997764826,10683441.099999997764826
FS( 22 ),10761366.159999998286366,10761366.159999998286366
