代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10419589.839999999850988
真實報酬,419589.839999999850988

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,22995.382573240709462
風險,88412.138761147405603
起點值,0.260093047125176
找到最佳解世代,1784
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
MRK[17](1),UTX[24](2),
Stock#,MRK[17](1),UTX[24](2),
張數,101030,44448,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,25.299999999813735,44.480000000447035,
FS( 1 ),5000000.000000000000000,5000000.000000000000000,10000000.000000000000000
FS( 2 ),5024247.199999999254942,5018223.680000000633299,10042470.879999998956919
FS( 3 ),5025257.500000000000000,5013334.400000000372529,10038591.900000000372529
FS( 4 ),5062638.599999999627471,5045336.960000000894070,10107975.560000000521541
FS( 5 ),5030309.000000000000000,5051559.680000000633299,10081868.679999999701977
FS( 6 ),5003030.900000000372529,5054226.560000000521541,10057257.460000000894070
FS( 7 ),5039401.700000000186265,5059560.320000000298023,10098962.019999999552965
FS( 8 ),5366738.899999999441206,5013778.879999999888241,10380517.779999999329448
FS( 9 ),5354615.299999999813735,5006222.720000000670552,10360838.019999999552965
FS( 10 ),5306120.900000000372529,5070227.839999999850988,10376348.740000000223517
FS( 11 ),5304100.299999999813735,5076895.040000000037253,10380995.339999999850988
FS( 12 ),5248533.799999999813735,5076450.560000000521541,10324984.359999999403954
FS( 13 ),5236410.199999999254942,5111120.000000000000000,10347530.199999999254942
FS( 14 ),5187915.799999999813735,5161346.240000000223517,10349262.039999999105930
FS( 15 ),5213173.299999999813735,5104452.800000000745058,10317626.100000001490116
FS( 16 ),5251564.699999999254942,4969330.879999999888241,10220895.579999998211861
FS( 17 ),5307131.200000000186265,5057782.400000000372529,10364913.600000001490116
FS( 18 ),5341481.399999999441206,5060893.760000000707805,10402375.160000000149012
FS( 19 ),5274801.599999999627471,5034669.440000000409782,10309471.039999999105930
FS( 20 ),5406140.599999999627471,5097341.120000001043081,10503481.720000000670552
FS( 21 ),5351584.399999999441206,5068005.440000000409782,10419589.839999999850988
