訓練日期,20171229 - 20180404
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10847000.669999999925494
真實報酬,847000.669999999925494

夏普值報酬,0.076000067000000
夏普值風險,0.042814776316268
夏普值,1.775089666207681

預期報酬,24269.780006512555701
風險,359199.450319952797145
趨勢值,0.067566306086756
找到最佳解世代,2008
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
BA[2](3),CSCO[4](1),INTC[11](7),
Stock#,BA[2](3),CSCO[4](1),INTC[11](7),
張數,11247,86378,72118,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,284.549999999813735,5.979999999515712,39.040000000037253,
20171229,3317137.320000000298023,3308283.379999999422580,3329005.919999999925494,9954427.619999999180436
20180102,3338844.029999999329448,3356655.059999999590218,3378767.340000000316650,10074267.429999999701977
20180103,3349641.149999999906868,3383432.239999999757856,3264099.719999999739230,9997174.109999999403954
20180104,3336932.040000000037253,3367884.199999999720603,3204241.779999999795109,9909059.019999999552965
20180105,3473808.029999999329448,3414528.319999999832362,3226598.360000000335276,10114935.710000000894070
20180108,3488541.599999999627471,3449943.299999999348074,3226598.360000000335276,10165084.259999997913837
20180109,3581666.759999999776483,3428348.799999999348074,3145826.199999999720603,10155842.759999997913837
20180110,3602248.769999999552965,3447351.959999999031425,3065054.040000000037253,10114655.769999999552965
20180111,3690650.189999999944121,3463763.779999999795109,3130681.419999999925494,10285096.390000000596046
20180112,3781638.419999999459833,3530274.839999999385327,3118421.360000000335276,10430335.619999999180436
20180116,3769829.070000000298023,3501770.099999999627471,3111209.560000000055879,10382809.730000000447035
20180117,3948094.019999999552965,3558779.579999999608845,3201357.060000000055879,10708231.660000000149012
20180118,3826064.070000000298023,3567417.379999999422580,3207847.679999999701977,10601330.129999998956919
20180119,3798733.859999999869615,3566553.599999999627471,3232367.800000000279397,10597656.259999999776483
20180122,3801770.549999999813735,3598513.459999999031425,3299437.540000000037253,10699722.549999998882413
20180123,3774665.279999999329448,3636519.779999999795109,3321794.120000000111759,10732980.179999999701977
20180124,3764542.979999999981374,3642566.239999999757856,3282129.219999999739230,10689239.439999999478459
20180125,3859242.719999999739230,3619244.179999999236315,3266984.439999999944121,10745472.339999997988343
20180126,3860479.890000000130385,3676253.659999999683350,3611708.479999999981374,11148443.029999999329448
20180129,3833487.089999999850988,3701303.279999999795109,3604496.679999999701977,11139288.049999998882413
20180130,3798508.919999999459833,3649476.479999999515712,3518676.259999999776483,10966662.659999998286366
20180131,3985883.939999999944121,3588148.099999999627471,3471799.560000000055879,11045832.599999999627471
20180201,4014788.729999999981374,3601968.579999999608845,3436461.739999999757856,11053220.049999998882413
20180202,3924475.320000000298023,3535457.519999999552965,3328284.739999999757856,10788218.580000000074506
20180205,3699197.909999999683350,3349744.819999999832362,3210732.400000000372529,10259676.129999998956919
20180206,3834499.320000000298023,3469810.239999999757856,3238858.419999999925494,10543168.980000000447035
20180207,3915590.189999999944121,3484494.500000000000000,3259772.640000000130385,10659858.330000000074506
20180208,3707970.570000000298023,3348881.039999999571592,3083083.540000000037253,10139936.149999998509884
20180209,3743623.559999999590218,3414528.319999999832362,3169625.140000000130385,10327778.019999999552965
20180212,3867003.149999999906868,3506952.779999999795109,3233088.979999999981374,10607045.910000000149012
20180213,3859805.070000000298023,3561370.919999999459833,3206405.320000000298023,10627582.310000000521541
20180214,3878812.500000000000000,3635656.000000000000000,3272753.880000000353903,10787223.380000000819564
20180215,4009390.169999999459833,3807548.219999999273568,3311697.600000000093132,11128636.989999998360872
20180216,3993419.430000000167638,3829142.719999999273568,3285735.120000000111759,11108298.269999999552965
20180220,3974412.000000000000000,3805820.659999999683350,3340544.800000000279397,11120778.460000000894070
20180221,3963389.939999999944121,3741037.159999999683350,3313139.959999999962747,11017568.059999998658895
20180222,4003316.790000000037253,3709077.299999999348074,3303043.439999999944121,11015438.529999999329448
20180223,4011639.570000000298023,3800637.979999999515712,3442231.179999999701977,11254509.730000000447035
20180226,4088344.109999999869615,3918112.059999999590218,3541754.020000000018626,11548211.189999999478459
20180227,4101390.629999999888241,3890471.099999999627471,3599448.419999999925494,11591311.149999998509884
