代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10399997.880000000819564
真實報酬,399997.880000000819564

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,24307.186940711460920
風險,95133.428146701364312
起點值,0.255506265402613
找到最佳解世代,2353
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,1
MCD[15](1),
Stock#,MCD[15](1),
張數,142348,
分配資金,10000000.000000000000000,
剩餘資金,53.000000000000000,
FS( 1 ),10000000.000000000000000,10000000.000000000000000
FS( 2 ),10028469.599999999627471,10028469.599999999627471
FS( 3 ),10062633.119999999180436,10062633.119999999180436
FS( 4 ),10028469.599999999627471,10028469.599999999627471
FS( 5 ),10212098.519999999552965,10212098.519999999552965
FS( 6 ),10380069.160000000149012,10380069.160000000149012
FS( 7 ),10368681.320000000298023,10368681.320000000298023
FS( 8 ),10187899.359999999403954,10187899.359999999403954
FS( 9 ),10257649.880000000819564,10257649.880000000819564
FS( 10 ),10233450.720000000670552,10233450.720000000670552
FS( 11 ),10219215.920000001788139,10219215.920000001788139
FS( 12 ),10422773.560000000521541,10422773.560000000521541
FS( 13 ),10427044.000000000000000,10427044.000000000000000
FS( 14 ),10387186.560000000521541,10387186.560000000521541
FS( 15 ),10402844.839999999850988,10402844.839999999850988
FS( 16 ),10439855.320000000298023,10439855.320000000298023
FS( 17 ),10351599.560000000521541,10351599.560000000521541
FS( 18 ),10418503.119999999180436,10418503.119999999180436
FS( 19 ),10414232.679999999701977,10414232.679999999701977
FS( 20 ),10532381.519999999552965,10532381.519999999552965
FS( 21 ),10354446.519999999552965,10354446.519999999552965
FS( 22 ),10399997.880000000819564,10399997.880000000819564
