代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10703828.710000000894070
真實報酬,703828.710000000894070

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,40986.589299305385794
風險,79306.776281377489795
起點值,0.516810684044028
找到最佳解世代,1949
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,1
VZ[26](1),
Stock#,VZ[26](1),
張數,200521,
分配資金,10000000.000000000000000,
剩餘資金,17.730000000447035,
FS( 1 ),10000000.000000000000000,10000000.000000000000000
FS( 2 ),9987968.740000000223517,9987968.740000000223517
FS( 3 ),9975937.480000000447035,9975937.480000000447035
FS( 4 ),10098255.290000000968575,10098255.290000000968575
FS( 5 ),10302786.710000000894070,10302786.710000000894070
FS( 6 ),10252656.460000000894070,10252656.460000000894070
FS( 7 ),10324844.020000001415610,10324844.020000001415610
FS( 8 ),10378984.689999999478459,10378984.689999999478459
FS( 9 ),10499297.290000000968575,10499297.290000000968575
FS( 10 ),10352916.960000000894070,10352916.960000000894070
FS( 11 ),10389010.740000000223517,10389010.740000000223517
FS( 12 ),10481250.400000000372529,10481250.400000000372529
FS( 13 ),10609583.839999999850988,10609583.839999999850988
FS( 14 ),10651693.250000000000000,10651693.250000000000000
FS( 15 ),10621615.099999999627471,10621615.099999999627471
FS( 16 ),10757969.380000000819564,10757969.380000000819564
FS( 17 ),10763985.009999999776483,10763985.009999999776483
FS( 18 ),10755964.169999999925494,10755964.169999999925494
FS( 19 ),10715859.970000000670552,10715859.970000000670552
FS( 20 ),10776016.270000001415610,10776016.270000001415610
FS( 21 ),10703828.710000000894070,10703828.710000000894070
